"","submission_id","age","comments","education","emphasis","experiment_duration","experiment_end_time","experiment_start_time","fragment_type","gender","languages","modality","prolific_pid","prolific_session_id","prolific_study_id","response","responseTime","trial_number","trial_type","monolingual"
"1580",49,25,"","Höherer Abschluss","without",571120,"1,69038E+12","1,69038E+12","lexical","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,6918,12,"Critical","yes"
"1581",49,25,"","Höherer Abschluss","without",571120,"1,69038E+12","1,69038E+12","lexical","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,7030,13,"Critical","yes"
"1582",49,25,"","Höherer Abschluss","with",571120,"1,69038E+12","1,69038E+12","lexical","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,9035,14,"Critical","yes"
"1583",49,25,"","Höherer Abschluss","without",571120,"1,69038E+12","1,69038E+12","functional","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,8151,15,"Critical","yes"
"1585",49,25,"","Höherer Abschluss","with",571120,"1,69038E+12","1,69038E+12","functional","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,9274,17,"Critical","yes"
"1588",49,25,"","Höherer Abschluss","without",571120,"1,69038E+12","1,69038E+12","functional","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,7144,20,"Critical","yes"
"1589",49,25,"","Höherer Abschluss","without",571120,"1,69038E+12","1,69038E+12","functional","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,7858,21,"Critical","yes"
"1592",49,25,"","Höherer Abschluss","without",571120,"1,69038E+12","1,69038E+12","lexical","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,7168,24,"Critical","yes"
"1595",49,25,"","Höherer Abschluss","with",571120,"1,69038E+12","1,69038E+12","functional","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,8411,27,"Critical","yes"
"1597",49,25,"","Höherer Abschluss","with",571120,"1,69038E+12","1,69038E+12","functional","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,7955,29,"Critical","yes"
"1601",49,25,"","Höherer Abschluss","with",571120,"1,69038E+12","1,69038E+12","lexical","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,8367,33,"Critical","yes"
"1602",49,25,"","Höherer Abschluss","without",571120,"1,69038E+12","1,69038E+12","functional","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,9992,34,"Critical","yes"
"1603",49,25,"","Höherer Abschluss","with",571120,"1,69038E+12","1,69038E+12","lexical","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,9978,35,"Critical","yes"
"1604",49,25,"","Höherer Abschluss","without",571120,"1,69038E+12","1,69038E+12","functional","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,8173,36,"Critical","yes"
"1605",49,25,"","Höherer Abschluss","without",571120,"1,69038E+12","1,69038E+12","functional","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,7017,37,"Critical","yes"
"1607",49,25,"","Höherer Abschluss","with",571120,"1,69038E+12","1,69038E+12","functional","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,7847,39,"Critical","yes"
"1610",49,25,"","Höherer Abschluss","with",571120,"1,69038E+12","1,69038E+12","functional","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,9131,42,"Critical","yes"
"1611",49,25,"","Höherer Abschluss","without",571120,"1,69038E+12","1,69038E+12","lexical","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,7791,43,"Critical","yes"
"1613",49,25,"","Höherer Abschluss","with",571120,"1,69038E+12","1,69038E+12","lexical","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,7534,45,"Critical","yes"
"1614",49,25,"","Höherer Abschluss","with",571120,"1,69038E+12","1,69038E+12","lexical","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,7568,46,"Critical","yes"
"1616",49,25,"","Höherer Abschluss","with",571120,"1,69038E+12","1,69038E+12","functional","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,8238,48,"Critical","yes"
"1618",49,25,"","Höherer Abschluss","without",571120,"1,69038E+12","1,69038E+12","functional","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,8049,50,"Critical","yes"
"1621",49,25,"","Höherer Abschluss","with",571120,"1,69038E+12","1,69038E+12","lexical","weiblich","Deutsch","auditory","63e1187a668c92bfd9371d1e","64c130d49d4ad00d6cf353b0","64ba4c8d312ce994ea1f9971",7,8329,53,"Critical","yes"
"1625",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",6,24023,1,"Critical","yes"
"1629",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",6,7599,5,"Critical","yes"
"1630",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",6,7785,6,"Critical","yes"
"1632",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,6759,8,"Critical","yes"
"1633",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,5624,9,"Critical","yes"
"1634",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",6,5720,10,"Critical","yes"
"1638",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",6,6104,14,"Critical","yes"
"1642",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",6,6120,18,"Critical","yes"
"1645",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",6,9384,21,"Critical","yes"
"1650",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",6,6144,26,"Critical","yes"
"1651",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",6,7263,27,"Critical","yes"
"1653",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,7696,29,"Critical","yes"
"1654",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,6000,30,"Critical","yes"
"1655",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,3232,31,"Critical","yes"
"1656",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,5551,32,"Critical","yes"
"1657",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",6,4361,33,"Critical","yes"
"1658",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,5567,34,"Critical","yes"
"1660",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",6,5240,36,"Critical","yes"
"1662",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,6168,38,"Critical","yes"
"1663",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,3471,39,"Critical","yes"
"1664",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,4482,40,"Critical","yes"
"1667",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,6216,43,"Critical","yes"
"1669",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,5016,45,"Critical","yes"
"1671",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,3920,47,"Critical","yes"
"1674",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",6,4840,50,"Critical","yes"
"1676",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","functional","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,5793,52,"Critical","yes"
"1678",50,43,"","Höherer Abschluss","without",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,5480,54,"Critical","yes"
"1680",50,43,"","Höherer Abschluss","with",529975,"1,69038E+12","1,69038E+12","lexical","weiblich","deutsch","written","5f298b2b7823df0a46e25d81","64c13157379904968f45e621","64ba4c8d312ce994ea1f9971",7,3360,56,"Critical","yes"
"1681",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",6,16948,1,"Critical","yes"
"1682",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",5,10846,2,"Critical","yes"
"1684",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,11301,4,"Critical","yes"
"1686",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,11581,6,"Critical","yes"
"1688",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,16397,8,"Critical","yes"
"1690",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,6866,10,"Critical","yes"
"1694",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,4872,14,"Critical","yes"
"1695",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,6315,15,"Critical","yes"
"1697",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,7559,17,"Critical","yes"
"1699",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",6,12405,19,"Critical","yes"
"1701",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",6,6313,21,"Critical","yes"
"1705",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,9524,25,"Critical","yes"
"1706",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,6933,26,"Critical","yes"
"1707",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,11082,27,"Critical","yes"
"1708",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,19255,28,"Critical","yes"
"1709",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,4412,29,"Critical","yes"
"1712",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,4412,32,"Critical","yes"
"1714",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",6,7480,34,"Critical","yes"
"1717",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",4,12929,37,"Critical","yes"
"1719",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,5964,39,"Critical","yes"
"1720",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,4619,40,"Critical","yes"
"1721",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,3743,41,"Critical","yes"
"1722",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,5010,42,"Critical","yes"
"1723",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",6,4093,43,"Critical","yes"
"1726",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,6683,46,"Critical","yes"
"1727",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,4887,47,"Critical","yes"
"1729",51,19,"","Abitur","with",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",4,5857,49,"Critical","yes"
"1734",51,19,"","Abitur","without",572169,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","630514eecbecf961998bf836","64c1316562a3a21ff0b10346","64ba4c8d312ce994ea1f9971",7,3872,54,"Critical","yes"
"1737",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","without",800410,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",6,18319,1,"Critical","yes"
"1740",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","without",800410,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",5,9344,4,"Critical","yes"
"1741",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","with",800410,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",4,17121,5,"Critical","yes"
"1743",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","with",800410,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",7,20104,7,"Critical","yes"
"1745",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","with",800410,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",7,5481,9,"Critical","yes"
"1747",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","with",800410,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",6,6800,11,"Critical","yes"
"1750",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","without",800410,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",5,21608,14,"Critical","yes"
"1751",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","with",800410,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",6,5888,15,"Critical","yes"
"1752",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","with",800410,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",5,8032,16,"Critical","yes"
"1753",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","without",800410,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",7,5849,17,"Critical","yes"
"1754",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","with",800410,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",5,13480,18,"Critical","yes"
"1756",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","without",800410,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",6,6369,20,"Critical","yes"
"1757",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","with",800410,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",6,6913,21,"Critical","yes"
"1760",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","with",800410,"1,69038E+12","1,69038E+12","functional","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",7,5304,24,"Critical","yes"
"1762",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","without",800410,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",6,22471,26,"Critical","yes"
"1767",55,35,"am wenigsten beachtet habe ich die Betonung, am meisten wars mir wichtig wie stimmig der Satz klingt, Betonung ist ja auch immer auch immer der Situation geschuldet und was man wirklich unterstreichen will, manchmal wirkt aber eine Betonung auch unnatürlich, aber das war eher hintergründig beachtet worden, anderes war wichtiger","Bachelor","with",800410,"1,69038E+12","1,69038E+12","lexical","männlich","Deutsch","written","5bbbdca68f3bd70001e713ef","64c130fc6923ff55edf35386","64ba4c8d312ce994ea1f9971",7,6912,31,"Critical","yes"
